Port(s),System,Device,Access,Description
03FA,PC/XT/AT,Serial,w,16650 FCR  (FIFO Control Register)
03FB,PC/XT/AT,Serial,r/w,line control register
03FC,PC/XT/AT,Serial,r/w,modem control register
03FD,PC/XT/AT,Serial,r,line status register
03FE,PC/XT/AT,Serial,r,modem status register
03FF,PC/XT/AT,Serial,r/w,scratch register
**0530-0533**,PC/XT/AT,Sound,,Gravis UltraSound Daughter Card
**0620-0627**,XT,Network,,PC network (adapter 1)
**0628-062F**,XT,Network,,PC network (adapter 2)
0680,PC/XT/AT,System,w,Microchannel POST Diagnostic
**06E8-06EF**,PC/XT/AT,Video,,8514/A and compatible video cards
0746,PC/XT/AT,Sound,,Gravis UltraSound
**0800-08FF**,PC/XT/AT,System,,I/O port access registers for extended CMOS RAM or SRAM
**0A20-0A23**,PC/XT/AT,Network,,Token Ring (adapter 1)
**0A24-0A27**,PC/XT/AT,Network,,Token Ring (adapter 2)
**0AE8-0AEF**,PC/XT/AT,Video,,8514/A and compatible video cards
**0EE8-0EEF**,PC/XT/AT,Video,,8514/A and compatible video cards
**12E8-12EF**,PC/XT/AT,Video,,8514/A and compatible video cards
**16E8-16EF**,PC/XT/AT,Video,,8514/A and compatible video cards
**1AE8-1AEF**,PC/XT/AT,Video,,8514/A and compatible video cards
**1EE8-1EEF**,PC/XT/AT,Video,,8514/A and compatible video cards
**2100-210F**,PC/XT/AT,Video,,IBM XGA (eXtended Graphics Adapter  8514/A) (first installed)
**2110-217F**,PC/XT/AT,Video,,secondary XGA adapters
**22E8-22EF**,PC/XT/AT,Video,,8514/A and compatible video cards
**3220-3227**,PC/XT/AT,Serial,,"serial port 3, description same as 03F8"
**3228-322F**,PC/XT/AT,Serial,,"serial port 4, description same as 03F8"
**3540-354F**,PC/XT/AT,SCSI,,IBM SCSI (Small Computer System Interface) adapter
**3550-355F**,PC/XT/AT,SCSI,,IBM SCSI (Small Computer System Interface) adapter
**3560-356F**,PC/XT/AT,SCSI,,IBM SCSI (Small Computer System Interface) adapter
**3570-357F**,PC/XT/AT,SCSI,,IBM SCSI (Small Computer System Interface) adapter
**4220-4227**,PC/XT/AT,Serial,,"serial port, description same as 03F8"
**4228-422F**,PC/XT/AT,Serial,,"serial port, description same as 03F8"
**42E0-42EF**,PC/XT/AT,GPIB,,"GPIB (General Purpose Interface Bus, IEEE 488 interface)"
46E8,PC/XT/AT,Video,,VGA video adapter enable
**4AE8-4AEF**,PC/XT/AT,Video,,8514/A and compatible video cards
**5220-5227**,PC/XT/AT,Serial,,"serial port, description same as 03F8"
**5228-522F**,PC/XT/AT,Serial,,"serial port, description same as 03F8"
**62E0-62EF**,PC/XT/AT,GPIB,,"GPIB (General Purpose Interface Bus, IEEE 488 interface)"
**82E0-82EF**,PC/XT/AT,GPIB,,"GPIB (General Purpose Interface Bus, IEEE 488 interface)"
**82E8-82EF**,PC/XT/AT,Video,,8514/A and compatible video cards
**8AE8-8AEF**,PC/XT/AT,Video,,8514/A and compatible video cards
**8EE8-8EEF**,PC/XT/AT,Video,,8514/A and compatible video cards
**92E8-92EF**,PC/XT/AT,Video,,8514/A and compatible video cards
**96E8-96EF**,PC/XT/AT,Video,,8514/A and compatible video cards
**A2E0-A2EF**,PC/XT/AT,GPIB,,"GPIB (General Purpose Interface Bus, IEEE 488 interface)"
**A2E8-A2EF**,PC/XT/AT,Video,,8514/A and compatible video cards
**A6E8-A6EF**,PC/XT/AT,Video,,8514/A and compatible video cards
**AAE8-AAEF**,PC/XT/AT,Video,,8514/A and compatible video cards
**AEE8-AEEF**,PC/XT/AT,Video,,8514/A and compatible video cards
**B220-B227**,PC/XT/AT,Serial,,"serial port, description same as 03F8"
**B228-B22F**,PC/XT/AT,Serial,,"serial port, description same as 03F8"
**B2E8-B2EF**,PC/XT/AT,Video,,8514/A and compatible video cards
**B6E8-B6EF**,PC/XT/AT,Video,,8514/A and compatible video cards
**BAE8-BAEF**,PC/XT/AT,Video,,8514/A and compatible video cards
**BEE8-BEEF**,PC/XT/AT,Video,,8514/A and compatible video cards
**C220-C227**,PC/XT/AT,Serial,,"serial port, description same as 03F8"
**C228-C22F**,PC/XT/AT,Serial,,"serial port, description same as 03F8"
**C2E0-C2EF**,PC/XT/AT,GPIB,,"GPIB (General Purpose Interface Bus, IEEE 488 interface)"
**D220-D227**,PC/XT/AT,Serial,,"serial port, description same as 03F8"
**D228-D22F**,PC/XT/AT,Serial,,"serial port, description same as 03F8"
**E2E0-E2EF**,PC/XT/AT,GPIB,,"GPIB (General Purpose Interface Bus, IEEE 488 interface)"
**E2E8-E2EF**,PC/XT/AT,Video,,8514/A and compatible video cards
